351.59375,2009.5
0.046875,1150.75
1.4375,1142.0
2.71875,1135.25
4.03125,1131.75
5.34375,1130.5
6.703125,1132.5
7.96875,1136.0
9.375,1139.75
10.625,1147.75
19.359375,1934.25
24.796875,1523.75
34.015625,1658.5
38.171875,1427.75
39.53125,1404.75
40.828125,1391.5
42.09375,1389.0
43.421875,1392.25
44.78125,1407.25
85.078125,167.0
86.390625,165.75
87.71875,165.0
89.03125,164.0
90.328125,163.75
91.640625,163.5
92.96875,163.25
94.03125,163.25
95.59375,163.25
96.921875,163.25
98.234375,163.5
99.5625,163.5
100.875,163.75
102.203125,164.0
103.53125,164.5
104.84375,165.5
106.15625,166.25
107.46875,166.75
108.796875,167.75
110.125,168.75
111.4375,169.75
112.75,171.25
113.578125,172.5
114.84375,173.5
116.15625,175.0
117.46875,176.5
158.875,342.75
159.890625,339.5
161.359375,336.75
162.984375,333.75
164.5,330.75
165.65625,328.0
167.21875,325.5
168.375,323.0
169.703125,321.0
170.84375,319.25
172.625,317.5
173.25,316.0
174.703125,315.0
176.140625,314.25
177.609375,313.5
178.859375,312.75
179.890625,312.25
181.640625,311.75
182.9375,312.0
184.234375,312.0
185.484375,311.75
186.546875,312.25
188.140625,312.75
189.25,313.25
190.609375,314.25
191.953125,315.25
193.609375,316.0
194.578125,317.25
196.046875,318.75
197.25,320.5
198.671875,322.25
199.734375,324.5
201.34375,326.75
202.421875,328.75
203.40625,331.25
204.796875,334.25
206.484375,337.5
207.609375,341.0
208.4375,344.25
210.234375,348.0
211.15625,352.25
212.34375,356.5
223.84375,291.5
225.421875,283.75
233.75,5065.0
240.5,3328.25
251.234375,204.0
253.109375,202.0
254.4375,200.25
256.0,198.75
257.078125,197.25
258.390625,196.0
259.71875,195.0
261.03125,193.75
262.34375,193.0
263.171875,192.25
264.984375,191.5
266.3125,191.0
267.625,190.5
268.953125,190.0
270.265625,189.75
271.578125,189.0
272.90625,188.5
274.21875,189.0
275.53125,189.25
276.859375,189.25
278.171875,190.0
279.484375,190.75
280.703125,188.0
313.234375,2247.75
314.53125,2224.0
341.125,1780.25
342.46875,1758.25
345.09375,1758.5
347.671875,2000.0
348.984375,1987.25
